incident_id,incident_status,report_type,report_date,owner_name,regulated_entity_name,county,event_type,event_start,event_end,ep_name,epn,contaminant,est_quantity,units,emission_limit,limit_units,authorization,latitude,longitude,geocode_source
15337,CLOSED,FINAL,2/18/2003,SOLUTIA INC,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,BRAZORIA,EMISSIONS EVENT,2/3/2003 4:18,2/13/2003 21:00,AN7 Boiler Waste Heat Boiler,70Z401,Hydrogen cyanide,77,POUNDS,513.4,POUNDS,TCEQ Permit No. 38336,29.18161,-95.4993375,county_centroid
16858,CLOSED,FINAL,3/12/2003,SOLUTIA INC,ASCEND PERFORMANCE MATERIALS CHOCOLATE BAYOU PLANT,BRAZORIA,EMISSIONS EVENT,3/4/2003 9:28,3/5/2003 17:48,AN7 waste heat boiler,70Z401,Hydrogen cyanide,6.4,POUNDS,63.7,POUNDS,TCEQ Permit No. 38336,29.18161,-95.4993375,county_centroid
18961,CLOSED,FINAL,8/19/2003,EIDP INC,CHEMOURS BEAUMONT ANILINE FACILITY,JEFFERSON,EMISSIONS EVENT,4/12/2003 8:12,4/12/2003 14:35,Absorber Column Bypass Vent,ACR-VNT51,Hydrogen cyanide,3480,POUNDS,1,LBS/HR,1743,30.00712,-94.02963,mapbox
19983,CLOSED,FINAL,5/12/2003,BP CHEMICALS INC,INEOS GREEN LAKE PLANT,CALHOUN,EMISSIONS EVENT,4/28/2003 12:35,4/28/2003 14:41,AOGIB No. 1,H-4A,Hydrogen cyanide,2.96,POUNDS,9.46,LBS/HR,TCEQ Permit Authorization No. 6289/PSD-TX-76M7.,28.570485,-96.829375,mapbox
20010,CLOSED,FINAL,5/12/2003,BP CHEMICALS INC,INEOS GREEN LAKE PLANT,CALHOUN,EMISSIONS EVENT,4/28/2003 12:35,4/28/2003 14:38,AOGIB No. 2,H-4B,Hydrogen cyanide,2.11,POUNDS,9.46,LBS/HR,TCEQ Permit Authorization No. 6289/PSD-TX-76M7.,28.570485,-96.829375,mapbox
20021,CLOSED,FINAL,5/12/2003,BP CHEMICALS INC,INEOS GREEN LAKE PLANT,CALHOUN,EMISSIONS EVENT,4/28/2003 12:35,4/28/2003 14:27,AOGIB No. 3,H-4C,Hydrogen cyanide,20.38,POUNDS,2.49,LBS/HR,TCEQ Permit Authorization No. 6289/PSD-TX-76M7.,28.570485,-96.829375,mapbox
21395,CLOSED,FINAL,6/9/2003,EIDP INC,DOW CHEMICAL SABINE RIVER OPERATIONS,ORANGE,AIR SHUTDOWN,6/1/2003 18:00,6/2/2003 6:00,Operating Flare,PP-3,Hydrogen cyanide,317.1,POUNDS,24,LBS/HR,"Permit 1302, Spec Cond #6, 30 TAC 116.110(a), THSC 382.085(b)",30.05703471,-93.7577447,census
22301,CLOSED,FINAL,6/18/2003,EXXON MOBIL CORPORATION,EXXONMOBIL CHEMICAL BAYTOWN CHEMICAL PLANT,HARRIS,EMISSIONS EVENT,6/4/2003 9:12,6/4/2003 12:12,Syngas Unit,FS28,Hydrogen cyanide,1.4,POUNDS,0,,Air Permit # 36476,29.735007,-95.022704,mapbox
22452,CLOSED,FINAL,7/30/2003,EXXONMOBIL OIL CORPORATION,EXXONMOBIL BAYTOWN REFINERY,HARRIS,EMISSIONS EVENT,6/4/2003 9:00,6/9/2003 17:00,FCCU3 Wet Gas Scrubber Bypass Stack,FCCU3WGSBS,Hydrogen cyanide,1,POUNDS,0,,Permit # 18287 & PSD-TX-730 (Refinery)  #9163 & PSD-TX-474M5 (SCU2),29.756373,-94.991395,mapbox
23472,CLOSED,FINAL,7/7/2003,INEOS ACETYLS CHEMICALS TEXAS CITY INC,INEOS ACETYLS CHEMICALS TEXAS CITY,GALVESTON,EMISSIONS EVENT,6/30/2003 4:00,6/30/2003 4:08,WOB-A,51H2-1,Hydrogen cyanide,180,POUNDS,1.24,LBS/HR,NSR  1272A,29.38260851,-94.89337017,census
